Query,Match,HMDB,PubChem,ChEBI,KEGG,METLIN,SMILES,Comment
Piperidine,Piperidine,HMDB0034301,8082,18049,C01746,NA,C1CCNCC1,1
1-Aminocyclopropane-1-carboxylic acid,1-Aminocyclopropanecarboxylic acid,HMDB0036458,535,18053,C01234,NA,NC1(CC1)C(O)=O,1
L-Serine,Serine,HMDB0000187,5951,17115,C00065,5203,N[C@@H](CO)C(O)=O,1
D-2-Aminobutyric acid,D-alpha-Aminobutyric acid,HMDB0000650,439691,28797,C02261,NA,CC[C@@H](N)C(O)=O,1
Choline,Choline,HMDB0000097,305,15354,C00114,56,C[N+](C)(C)CCO,1
3-Cyanopyridine,NA,NA,NA,NA,NA,NA,NA,0
Serine,Serine,HMDB0000187,5951,17115,C00065,5203,N[C@@H](CO)C(O)=O,1
Diethanolamine,Diethanolamine,HMDB0004437,8113,28123,C06772,3239,OCCNCCO,1
Hypotaurine,Hypotaurine,HMDB0000965,107812,16668,C00519,281,NCCS(O)=O,1
Cytosine,Cytosine,HMDB0000630,597,16040,C00380,283,NC1=CC=NC(=O)N1,1
Uracil,Uracil,HMDB0000300,1174,17568,C00106,258,O=C1NC=CC(=O)N1,1
Creatinine,Creatinine,HMDB0000562,588,16737,C00791,8,CN1CC(=O)NC1=N,1
"5,6-Dihydrouracil",Dihydrouracil,HMDB0000076,649,15901,C00429,285,O=C1CCNC(=O)N1,1
Proline,Proline,HMDB0000162,145742,17203,C00148,29,OC(=O)[C@@H]1CCCN1,1
Glycocyamine,Guanidoacetic acid,HMDB0000128,763,16344,C00581,5163,NC(=N)NCC(O)=O,1
Valine,L-Valine,HMDB0000883,6287,16414,C00183,5842,CC(C)[C@H](N)C(O)=O,1
Benzimidazole,Benzimidazole,HMDB0248993,5798,41275,C02009,NA,N1C=NC2=CC=CC=C12,1
1H-Benzotriazole,1H-Benzotriazole,HMDB0244873,7220,75331,NA,NA,N1N=NC2=CC=CC=C12,1
D-(-)-Erythrose,NA,NA,NA,NA,NA,NA,NA,0
Cysteine,L-Cysteine,HMDB0000574,5862,17561,C00097,5556,N[C@@H](CS)C(O)=O,1
"N,N-Dimethylaniline","N,N-Dimethylaniline",HMDB0001020,949,16269,C02846,5949,CN(C)C1=CC=CC=C1,1
Niacinamide,Niacinamide,HMDB0001406,936,17154,C00153,1497,NC(=O)C1=CC=CN=C1,1
Niacin,Niacinamide,HMDB0001406,936,17154,C00153,1497,NC(=O)C1=CC=CN=C1,1
"N,N-Dimethylsulfamide",NA,NA,NA,NA,NA,NA,NA,0
