"Query","Match","HMDB","PubChem","ChEBI","KEGG","METLIN","SMILES","Comment"
"1-(3-Chlorophenyl)piperazine","m-chlorophenylpiperazine (m-CPP)","HMDB0061008","1355","10588","C11738",NA,"ClC1=CC(=CC=C1)N1CCNCC1","1"
"13-HPODE","13-L-Hydroperoxylinoleic acid","HMDB0003871","5280720","15655","C04717",NA,"CCCCC[C@H](OO)\C=C\C=C/CCCCCCCC(O)=O","1"
"2,7-Naphthalenedisulfonic acid","NA","NA","NA","NA","NA","NA","NA","0"
"2-Mercapto benzimidazole","NA","NA","NA","NA","NA","NA","NA","0"
"3',5'-Cyclic AMP","Cyclic AMP","HMDB0000058","6076","17489","C00575","5120","[H][C@@]12COP(O)(=O)O[C@@]1([H])[C@@H](O)[C@@H](O2)N1C=NC2=C1N=CN=C2N","1"
"3,5-Dibromo-L-tyrosine","gamma-Taraxastane-3,20-diol","HMDB0035930","14313597",NA,NA,NA,"CC1C2C3CCC4C5(C)CCC(O)C(C)(C)C5CCC4(C)C3(C)CCC2(C)CCC1(C)O","1"
"3-Phospho-D-glycerate","3-Phosphoglyceric acid","HMDB0000807","724","17050","C00597","150","OC(COP(O)(O)=O)C(O)=O","1"
"4-Hydroxybenzoylcholine","(4-Hydroxybenzoyl)choline","HMDB0029559","151252",NA,NA,NA,"C[N+](C)(C)CCOC(O)=C1C=CC(=O)C=C1","1"
"5-Fluorouracil","Fluorouracil","HMDB0014684","3385","46345","C07649",NA,"FC1=CNC(=O)NC1=O","1"
"7-Hydroxyflavone","NA","NA","NA","NA","NA","NA","NA","0"
"8'-Apozeaxanthinal","NA","NA","NA","NA","NA","NA","NA","0"
"Adenosine","Adenosine","HMDB0000050","60961","16335","C00212","86","NC1=C2N=CN([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)C2=NC=N1","1"
"Adenosine 5'-diphospho-glucose","NA","NA","NA","NA","NA","NA","NA","0"
"Amarouciaxanthin A","Amarouciaxanthin A",NA,"16061220",NA,NA,NA,"CC1=CC(=O)CC(C)(C)1(O)CC(=O)/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(\C)C=C=C1C(C)(C)C(O)C1(C)O","1"
"Aminopyrine","Aminophenazone","HMDB0015493","6009","160246","C07539",NA,"CN(C)C1=C(C)N(C)N(C1=O)C1=CC=CC=C1","1"
"Apigenin","Apigenin","HMDB0002124","5280443","18388","C01477","3397","OC1=CC=C(C=C1)C1=CC(=O)C2=C(O)C=C(O)C=C2O1","1"
"Apramycin","Apramycin","HMDB0248529","439519",NA,"C01555",NA,"CNC1C(O)C2OC(OC3C(N)CC(N)C(O)C3O)C(N)CC2OC1OC1OC(CO)C(N)C(O)C1O","1"
"Asparagine","L-Asparagine","HMDB0000168","6267","17196","C00152","14","N[C@@H](CC(N)=O)C(O)=O","1"
"Aspartic acid","L-Aspartic acid","HMDB0000191","5960","17053","C00049","5206","N[C@@H](CC(O)=O)C(O)=O","1"
"Atenolol-desisopropyl","NA","NA","NA","NA","NA","NA","NA","0"
"Azithromycin","Azithromycin","HMDB0014352","447043","2955","C06838",NA,"CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O","1"
"Baicalin","Baicalin","HMDB0041832","13654833","2981","C10025",NA,"O[C@@H]1[C@@H](O)[C@@H](OC2=C(O)C(O)=C3C(=O)C=C(OC3=C2)C2=CC=CC=C2)O[C@@H]([C@H]1O)C(O)=O","1"
"Benzimidazole","Benzimidazole","HMDB0248993","5798","41275","C02009",NA,"N1C=NC2=CC=CC=C12","1"
"Benzoylcholine","NA","NA","NA","NA","NA","NA","NA","0"
"Biotin","Biotin","HMDB0000030","171548","15956","C00120","243","[H][C@]12CS[C@@H](CCCCC(O)=O)[C@@]1([H])NC(=O)N2","1"
"Boldenone_Undecylenate","NA","NA","NA","NA","NA","NA","NA","0"
"Bumetanide","Bumetanide","HMDB0015024","2471","3213",NA,NA,"CCCCNC1=C(OC2=CC=CC=C2)C(=CC(=C1)C(O)=O)S(N)(=O)=O","1"
"C60","NA","NA","NA","NA","NA","NA","NA","0"
"Caffeic acid","Caffeic acid","HMDB0001964","689043","16433","C01481","3316","OC(=O)\C=C\C1=CC(O)=C(O)C=C1","1"
"Carbendazim","Carbendazim","HMDB0031769","25429","3392","C10897",NA,"COC(=O)NC1=NC2=CC=CC=C2N1","1"
"Chlorogenic Acid","Chlorogenic acid","HMDB0003164","1794427","16112","C00852","3498","O[C@@H]1C[C@](O)(C[C@@H](OC(=O)\C=C\C2=CC(O)=C(O)C=C2)[C@@H]1O)C(O)=O","1"
"Cholesterol","Cholesterol","HMDB0000067","5997","16113","C00187","163","[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC=C4C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCCC(C)C","1"
